72eb1354-9d93-11e5-80cb-0050569c0a68#01d09c0a-4ab2-11e6-8afe-005056954238;1;3,9;50;52;52;
72eb1354-9d93-11e5-80cb-0050569c0a68#01d09c0a-4ab2-11e6-8afe-005056954238;2;7,8;50;52;52;
72eb1354-9d93-11e5-80cb-0050569c0a68#01d09c0a-4ab2-11e6-8afe-005056954238;3;11,7;52;59;59;
72eb1354-9d93-11e5-80cb-0050569c0a68#01d09c0a-4ab2-11e6-8afe-005056954238;4;15,6;52;59;59;
72eb1354-9d93-11e5-80cb-0050569c0a68#01d09c15-4ab2-11e6-8afe-005056954238;1;3,9;50;52;52;
72eb1354-9d93-11e5-80cb-0050569c0a68#01d09c15-4ab2-11e6-8afe-005056954238;2;7,8;50;52;52;
72eb1354-9d93-11e5-80cb-0050569c0a68#01d09c15-4ab2-11e6-8afe-005056954238;3;11,7;52;59;59;
72eb1354-9d93-11e5-80cb-0050569c0a68#01d09c15-4ab2-11e6-8afe-005056954238;4;15,6;52;59;59;
72eb1354-9d93-11e5-80cb-0050569c0a68#c87a3ee4-f435-11e6-b7ee-005056954238;1;3,9;50;52;52;
72eb1354-9d93-11e5-80cb-0050569c0a68#c87a3ee4-f435-11e6-b7ee-005056954238;2;7,8;50;52;52;
72eb1354-9d93-11e5-80cb-0050569c0a68#c87a3ee4-f435-11e6-b7ee-005056954238;3;11,7;52;59;59;
72eb1354-9d93-11e5-80cb-0050569c0a68#c87a3ee4-f435-11e6-b7ee-005056954238;4;15,6;52;59;59;
72eb1354-9d93-11e5-80cb-0050569c0a68#01d09c1b-4ab2-11e6-8afe-005056954238;1;3,9;50;52;52;
72eb1354-9d93-11e5-80cb-0050569c0a68#01d09c1b-4ab2-11e6-8afe-005056954238;2;7,8;50;52;52;
72eb1354-9d93-11e5-80cb-0050569c0a68#01d09c1b-4ab2-11e6-8afe-005056954238;3;11,7;52;59;59;
72eb1354-9d93-11e5-80cb-0050569c0a68#01d09c1b-4ab2-11e6-8afe-005056954238;4;15,6;52;59;59;
72eb1354-9d93-11e5-80cb-0050569c0a68#fe5b8aea-25c5-11e6-80e8-d4ae5290bab1;1;3,9;50;52;52;
72eb1354-9d93-11e5-80cb-0050569c0a68#fe5b8aea-25c5-11e6-80e8-d4ae5290bab1;2;7,8;50;52;52;
72eb1354-9d93-11e5-80cb-0050569c0a68#fe5b8aea-25c5-11e6-80e8-d4ae5290bab1;3;11,7;52;59;59;
72eb1354-9d93-11e5-80cb-0050569c0a68#fe5b8aea-25c5-11e6-80e8-d4ae5290bab1;4;15,6;52;59;59;
72eb1354-9d93-11e5-80cb-0050569c0a68#01d09c11-4ab2-11e6-8afe-005056954238;1;3,9;50;52;52;
72eb1354-9d93-11e5-80cb-0050569c0a68#01d09c11-4ab2-11e6-8afe-005056954238;2;7,8;50;52;52;
72eb1354-9d93-11e5-80cb-0050569c0a68#01d09c11-4ab2-11e6-8afe-005056954238;3;11,7;52;59;59;
72eb1354-9d93-11e5-80cb-0050569c0a68#01d09c11-4ab2-11e6-8afe-005056954238;4;15,6;52;59;59;
72eb1354-9d93-11e5-80cb-0050569c0a68#13517939-f43a-11e6-b7ee-005056954238;1;3,9;50;52;52;
72eb1354-9d93-11e5-80cb-0050569c0a68#13517939-f43a-11e6-b7ee-005056954238;2;7,8;50;52;52;
72eb1354-9d93-11e5-80cb-0050569c0a68#13517939-f43a-11e6-b7ee-005056954238;3;11,7;52;59;59;
72eb1354-9d93-11e5-80cb-0050569c0a68#13517939-f43a-11e6-b7ee-005056954238;4;15,6;52;59;59;
72eb1395-9d93-11e5-80cb-0050569c0a68#0ab00784-5072-11e6-beea-005056954238;1;5;100;55;57;
72eb1395-9d93-11e5-80cb-0050569c0a68#0ab00784-5072-11e6-beea-005056954238;2;10;100;55;57;
72eb1395-9d93-11e5-80cb-0050569c0a68#0ab00784-5072-11e6-beea-005056954238;3;15;105;55;76;
72eb1395-9d93-11e5-80cb-0050569c0a68#0ab00784-5072-11e6-beea-005056954238;4;20;105;55;76;
72eb1395-9d93-11e5-80cb-0050569c0a68#2e69665b-2144-11e7-83df-005056954238;1;5;100;55;57;
72eb1395-9d93-11e5-80cb-0050569c0a68#2e69665b-2144-11e7-83df-005056954238;2;10;100;55;57;
72eb1395-9d93-11e5-80cb-0050569c0a68#2e69665b-2144-11e7-83df-005056954238;3;15;105;55;76;
72eb1395-9d93-11e5-80cb-0050569c0a68#2e69665b-2144-11e7-83df-005056954238;4;20;105;55;76;
72eb1395-9d93-11e5-80cb-0050569c0a68#ac7a3743-da99-11e7-a642-005056012ed7;1;5;100;55;57;
72eb1395-9d93-11e5-80cb-0050569c0a68#ac7a3743-da99-11e7-a642-005056012ed7;2;10;100;55;57;
